publication_date,effective_on,department,agency_fr,independent_reg_agency,title_fr,abstract,action,citation,document_number,docket_number,significant,econ_significant,3(f)(1) significant,Major,html_url,Notes,in_fr_df,url,title_gao,agency_gao,subagency,type,description,priority,effective,received,control_number,fed_reg_number,major_rule_report,in_gao_df,regulation_id_number
2021-01-29,2020-09-29,Homeland Security Department,,0,U.S. Citizenship and Immigration Services Fee Schedule and Changes to Certain Other Immigration Benefit Request Requirements,"U.S. Citizenship and Immigration Services (USCIS) is issuing this document to inform the public of two preliminary injunctions ordered by Federal district courts affecting the Department of Homeland Security's (the Department, or DHS) final rule entitled ""U.S. Citizenship and Immigration Services Fee Schedule and Changes to Certain Other Immigration Benefit Request Requirements.""",Notification of preliminary injunction.,86 FR 7493,2021-02044,USCIS-2019-0010,,,,,https://www.federalregister.gov/documents/2021/01/29/2021-02044/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,,1,,,,,,,,,,,,,0,['1615-AC18']
2021-01-29,2021-01-29,Federal Housing Finance Agency,,1,Rules of Practice and Procedure; Civil Money Penalty Inflation Adjustment,"The Federal Housing Finance Agency (FHFA) is adopting this final rule amending its Rules of Practice and Procedure and other agency regulations to adjust each civil money penalty within its jurisdiction to account for inflation, pursuant to the Federal Civil Penalties Inflation Adjustment Act of 1990, as amended by the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015.",Final rule.,86 FR 7493,2021-01576,,,,,,https://www.federalregister.gov/documents/2021/01/29/2021-01576/rules-of-practice-and-procedure-civil-money-penalty-inflation-adjustment,,1,,,,,,,,,,,,,0,['2590-AB14']
2021-01-29,2021-01-29,Homeland Security Department,Coast Guard,0,"Emergency Safety Zone; Humboldt Bay Bar Entrance Closure for Piloted Vessels, Humboldt Bay, Eureka, CA","The Coast Guard is establishing a temporary safety zone in the navigable waters of the Humboldt Bay Bar Channel and the Humboldt Bay Entrance Channel, of Eureka, CA. This emergency safety zone is in support of the safe navigation of piloted vessels transiting and is needed to protect life, vessels, and the maritime environment from potential hazards posed by the wreckage of a fishing vessel that sank near the Channel on January 24, 2021. The location of the wreckage is currently unknown. Due to heavy weather conditions, a proper survey of the wreckage cannot be immediately completed. Unauthorized piloted vessels are prohibited from entering into, transiting through, or remaining in the safety zone without permission from the Captain of the Port San Francisco or a designated representative.",Temporary final rule.,86 FR 7507,2021-01993,USCG-2021-0056,,,,,https://www.federalregister.gov/documents/2021/01/29/2021-01993/emergency-safety-zone-humboldt-bay-bar-entrance-closure-for-piloted-vessels-humboldt-bay-eureka-ca,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-02-01,2021-01-29,Homeland Security Department,Coast Guard,0,"Safety Zone; Super Bowl LV; Hillsborough Bay and River, Tampa, FL","The Coast Guard is establishing a temporary safety zone on certain waters of Garrison Channel, Seddon Channel Turning Basin, and the Hillsborough River, in the vicinity of downtown Tampa, Florida during the Super Bowl LV celebrations. The safety zone is necessary to protect the public and Super Bowl LV event personnel from the hazards associated with potential vessel traffic within the area of the safety zone. All persons and vessels would be required to transit through the safety zone at a steady speed and may not slow down, stop or anchor except in the case of unforeseen mechanical failure or other emergency unless given prior authorization from the Captain of the Port. Any person or vessel forced to slow or stop in the established zone must immediately notify the Captain of the Port Tampa via VHF channel 16.",Temporary final rule.,86 FR 7651,2021-02107,USCG-2020-0691,,,,,https://www.federalregister.gov/documents/2021/02/01/2021-02107/safety-zone-super-bowl-lv-hillsborough-bay-and-river-tampa-fl,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-02-01,2021-03-03,Homeland Security Department,Coast Guard,0,"Anchorage; Galveston Harbor, Bolivar Roads Channel, Galveston, TX","The Coast Guard is establishing a 48-hour time limit in Anchorage Area (B) in Bolivar Roads near Galveston, Texas. Anchorage areas (A) and (C) in the Bolivar Roads Channel already have a 48-hour time limit, but anchorage (B) did not. This resulted in vessels remaining in anchorage (B) for extended periods, blocking other vessels with pressing logistical needs, adversely affecting commerce and impacting navigational safety. Except when stress of weather makes sailing impractical or hazardous, this rule will prohibit vessels from anchoring in anchorage area (B) for more than 48 hours unless expressly authorized by the Captain of the Port Houston-Galveston.",Final rule.,86 FR 7647,2021-02000,USCG-2019-0028,,,,,https://www.federalregister.gov/documents/2021/02/01/2021-02000/anchorage-galveston-harbor-bolivar-roads-channel-galveston-tx,,1,,,,,,,,,,,,,0,['1625-AA01']
2021-02-01,2021-03-03,Homeland Security Department,Coast Guard,0,"Drawbridge Operation Regulation; New Jersey Intracoastal Waterway, Atlantic City, NJ","The Coast Guard is temporarily modifying the operating schedule that governs the Route 30 (Absecon Boulevard) Bridge across the New Jersey Intracoastal Waterway (NJICW), Beach Thorofare, mile 67.2, at Atlantic City, NJ. This temporary modification will allow the drawbridge to remain in the closed-to-navigation position to accommodate critical bridge maintenance.",Temporary final rule.,86 FR 7649,2021-02058,USCG-2020-0334,,,,,https://www.federalregister.gov/documents/2021/02/01/2021-02058/drawbridge-operation-regulation-new-jersey-intracoastal-waterway-atlantic-city-nj,,1,,,,,,,,,,,,,0,['1625-AA09']
2021-02-01,2021-04-02,Securities and Exchange Commission,,1,Exemption From the Definition of âClearing Agencyâ for Certain Activities of Security-Based Swap Dealers and Security-Based Swap Execution Facilities,"The Securities and Exchange Commission (""Commission"") is adopting a rule pursuant to Section 36 of the Securities Exchange Act of 1934 (""Exchange Act"") to exempt from the definition of ""clearing agency"" in Section 3(a)(23) of the Exchange Act certain activities of a registered security-based swap dealer, a registered security-based swap execution facility, and a person engaging in dealing activity in security-based swaps that is eligible for an exception from registration as a security-based swap dealer because the quantity of dealing activity is de minimis.",Final rule.,86 FR 7637,2020-28194,,,,,,https://www.federalregister.gov/documents/2021/02/01/2020-28194/exemption-from-the-definition-of-clearing-agency-for-certain-activities-of-security-based-swap,,1,,,,,,,,,,,,,0,['3235-AK74']
2021-02-02,2021-01-04,Energy Department,,0,Energy Conservation Program: Test Procedures for Small Electric Motors and Electric Motors,"This document delays the effective date of a recently published final rule amending the test procedures for small electric motors and electric motors. DOE also seeks comment on any further delay of the effective date, including the impacts of such delay, as well comment on the legal, factual, or policy issues raised by the rule.",Final rule; delay of effective date.,86 FR 7798,2021-02035,EERE-2017-BT-TP-0047,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-02035/energy-conservation-program-test-procedures-for-small-electric-motors-and-electric-motors,,1,,,,,,,,,,,,,0,['1904-AE18']
2021-02-02,2021-01-06,Energy Department,,0,Procedures for the Issuance of Guidance Documents,"This document delays the effective date of a recently published final rule establishing procedures for the issuance of Department of Energy guidance documents. DOE also seeks comment on any further delay of the effective date, including the impacts of such delay, as well comment on the legal, factual, or policy issues raised by the rule.",Final rule; delay of effective date.,86 FR 7799,2021-02036,DOE-HQ-2020-0033,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-02036/procedures-for-the-issuance-of-guidance-documents,,1,,,,,,,,,,,,,0,['1990-AA50']
2021-02-02,2021-02-02,Commodity Futures Trading Commission,,1,Annual Adjustment of Civil Monetary Penalties To Reflect Inflation-2021,"The Commodity Futures Trading Commission (Commission) is amending its rule that governs the maximum amount of civil monetary penalties imposed under the Commodity Exchange Act (CEA), to adjust for inflation. This rule sets forth the maximum, inflation-adjusted dollar amount for civil monetary penalties (CMPs) assessable for violations of the CEA and Commission rules, regulations and orders thereunder. The rule, as amended, implements the Federal Civil Penalties Inflation Adjustment Act of 1990, as amended.",Final rule.,86 FR 7802,2021-00897,,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-00897/annual-adjustment-of-civil-monetary-penalties-to-reflect-inflation-2021,,1,,,,,,,,,,,,,0,['3038-AE97']
2021-02-02,2021-02-02,Interior Department,Natural Resources Revenue Office,0,Inflation Adjustments to Civil Monetary Penalty Rates for Calendar Year 2021,The Office of Natural Resources Revenue (ONRR) publishes this final rule to increase its maximum civil monetary penalty (CMP) rates to account for inflation occurring between October 2019 and October 2020.,Final rule.,86 FR 7808,2021-01502,ONRR-2020-0002,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-01502/inflation-adjustments-to-civil-monetary-penalty-rates-for-calendar-year-2021,,1,,,,,,,,,,,,,0,['1012-AA29']
2021-02-02,2021-02-25,Labor Department,Occupational Safety and Health Administration,0,Rules of Practice and Procedure Concerning Filing and Service and Amended Rules Concerning Filing and Service; Correction,"The Department of Labor (Department or DOL) is correcting a direct final rule that appeared in the Federal Register on January 11, 2021, ""Rules of Practice and Procedure Concerning Filing and Service and Amended Rules Concerning Filing and Service."" The companion proposed rule to the final rule was published in the same issue of the Federal Register. The final rule required electronic filing (e-filing) and made acceptance of electronic service (e-service) automatic for attorneys and non-attorney representatives representing parties in proceedings before the Administrative Review Board, unless the Board authorized non-electronic filing and service for good cause. Among other changes, the final rule was intended to revise several sections of the Code of Federal Regulations. However, the final rule as published inadvertently omitted amendatory instructions to revise two section headings, despite providing revised language for those headings. This document provides the omitted amendatory instructions to ensure that these two section headings are revised as written in the final rule.",Direct final rule; correction.,86 FR 7807,2021-02169,,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-02169/rules-of-practice-and-procedure-concerning-filing-and-service-and-amended-rules-concerning-filing,,1,,,,,,,,,,,,,0,['1290-AA28']
2021-02-02,2021-03-04,Homeland Security Department,Coast Guard,0,"Regulated Navigation Area; Sparkman Channel, Tampa, FL","The Coast Guard is removing an existing regulated navigation area in Sparkman Channel, located in Tampa, FL. The regulated navigation area is no longer needed to protect vessels navigating in the area. This action removes the existing regulations related to restricting vessel draft in the channel due to an underwater pipeline that is no longer a navigational concern.",Final rule.,86 FR 7810,2021-02103,USCG-2020-0556,,,,,https://www.federalregister.gov/documents/2021/02/02/2021-02103/regulated-navigation-area-sparkman-channel-tampa-fl,,1,,,,,,,,,,,,,0,['1625-AA11']
2021-02-03,2021-02-03,Education Department,,0,Adjustment of Civil Monetary Penalties for Inflation,"The Department of Education (Department) issues these final regulations to adjust the Department's civil monetary penalties (CMPs) for inflation. This adjustment is required by the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015 (2015 Act), which amended the Federal Civil Penalties Inflation Adjustment Act of 1990 (Inflation Adjustment Act). These final regulations provide the 2021 annual inflation adjustments being made to the penalty amounts in the Department's final regulations published in the Federal Register on January 14, 2020 (2020 final rule).",Final regulations.,86 FR 7974,2021-02231,,,,,,https://www.federalregister.gov/documents/2021/02/03/2021-02231/adjustment-of-civil-monetary-penalties-for-inflation,,1,,,,,,,,,,,,,0,['1801-AA21']
2021-02-03,2021-02-03,Securities and Exchange Commission,,1,"Administration of the Electronic Data Gathering, Analysis, and Retrieval System","The Securities and Exchange Commission (""Commission"") is adopting a new rule that specifies several actions that the Commission, in its administration of the Electronic Data Gathering, Analysis, and Retrieval system (""EDGAR""), may take to promote the reliability and integrity of EDGAR submissions. The new rule establishes a process for the Commission to notify filers and other relevant persons of its actions under the rule as soon as reasonably practicable. In addition, the Commission is adopting amendments to delegate authority to the Director of the Commission's EDGAR Business Office to take actions pursuant to the new rule and two current rules relating to filing date adjustments and the continuing hardship exemption.",Final rule.,86 FR 7961,2020-28273,,,,,,https://www.federalregister.gov/documents/2021/02/03/2020-28273/administration-of-the-electronic-data-gathering-analysis-and-retrieval-system,,1,,,,,,,,,,,,,0,['3235-AM77']
2021-02-03,2021-03-05,Homeland Security Department,Coast Guard,0,"Safety Zone; Bahia de Ponce, Ponce, PR","The Coast Guard is establishing a permanment safety zone for certain waters of Bahia de Ponce, Ponce, Puerto Rico. This action is necessary to provide for the safety of life on these navigable waters during ship-to-ship liquefied gas transfer operations between liquefied gas carriers. This rule will prohibit persons and vessels from being in the safety zone when activated unless authorized by the Captain of the Port San Juan or a designated representative.",Final rule.,86 FR 7972,2021-02104,USCG-2020-0630,,,,,https://www.federalregister.gov/documents/2021/02/03/2021-02104/safety-zone-bahia-de-ponce-ponce-pr,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-02-03,,Homeland Security Department; Labor Department,,0,Discretionary Review by the Secretary of Labor,"Due to the receipt of a significant adverse comment, the Department of Homeland Security and the Department of Labor (Departments) are jointly withdrawing the January 4, 2021, direct final rule (DFR) that would have extended DOL's recently established system of discretionary Secretary of Labor review to H-2B temporary labor certification cases (H-2B cases) pending before or decided by the Department of Labor's Board of Alien Labor Certification Appeals and made technical, conforming changes to regulations governing the timing and finality of those decisions and of decisions from the Department of Labor's Administrative Review Board in H-2B cases.",Direct final rule; withdrawal.,86 FR 7927,2021-02317,DHS-2021-0001,,,,,https://www.federalregister.gov/documents/2021/02/03/2021-02317/discretionary-review-by-the-secretary-of-labor,,1,,,,,,,,,,,,,0,['1290-AA43']
2021-02-04,2021-02-07,Veterans Affairs Department,,0,Schedule for Rating Disabilities: Musculoskeletal System and Muscle Injuries; Correction,"The Department of Veterans Affairs (VA) is making correcting amendments to the final rule published on November 30, 2020. The final rule amends the Department of Veterans Affairs (VA) Schedule for Rating Disabilities (""VASRD"" or ""rating schedule"") by revising the portion of the rating schedule that addresses the musculoskeletal system.",Final rule; correction.,86 FR 8142,2021-01289,VA-2017-VBA-0016,,,,,https://www.federalregister.gov/documents/2021/02/04/2021-01289/schedule-for-rating-disabilities-musculoskeletal-system-and-muscle-injuries-correction,,1,,,,,,,,,,,,,0,['2900-AP88']
2021-02-05,2021-03-01,Consumer Financial Protection Bureau,,1,Qualified Mortgage Definition Under the Truth in Lending Act (Regulation Z): Seasoned QM Loan Definition; Correction,"The Bureau of Consumer Financial Protection (Bureau) recently published ""Qualified Mortgage Definition Under the Truth in Lending Act (Regulation Z): Seasoned QM Loan Definition,"" which appeared in the Federal Register on December 29, 2020. This document corrects a scrivener's error in an amendatory instruction in that document.",Final rule; correction.,86 FR 8283,2021-01387,CFPB-2020-0028,,,,,https://www.federalregister.gov/documents/2021/02/05/2021-01387/qualified-mortgage-definition-under-the-truth-in-lending-act-regulation-z-seasoned-qm-loan,,1,,,,,,,,,,,,,0,['3170-AA98']
2021-02-05,,General Services Administration; Defense Department; National Aeronautics and Space Administration,,0,"Federal Acquisition Regulation: Maximizing Use of American-Made Goods, Products, and Materials",,,86 FR 8308,C1-2021-00710,FAR-2019-0016,,,,,https://www.federalregister.gov/documents/2021/02/05/C1-2021-00710/federal-acquisition-regulation-maximizing-use-of-american-made-goods-products-and-materials,,1,,,,,,,,,,,,,0,['9000-AN99']
2021-02-09,2021-02-05,Interior Department,Fish and Wildlife Service,0,Regulations Governing Take of Migratory Birds; Delay of Effective Date,"On January 7, 2021, we, the U.S. Fish and Wildlife Service, published a final rule (""MBTA rule"") defining the scope of the Migratory Bird Treaty Act (MBTA) as it applies to conduct resulting in the injury or death of migratory birds protected by the MBTA. We are delaying the MBTA rule's effective date until March 8, 2021, in conformity with the Congressional Review Act (CRA). We request public comments to inform our review of this final rule and to determine whether the further extension of the effective date is necessary.",Final rule; delay of effective date and request for public comments.,86 FR 8715,2021-02667,FWS-HQ-MB-2018-0090,,,,,https://www.federalregister.gov/documents/2021/02/09/2021-02667/regulations-governing-take-of-migratory-birds-delay-of-effective-date,,1,,,,,,,,,,,,,0,['1018-BD76']
2021-02-09,2021-02-09,Labor Department,Workers' Compensation Programs Office,0,"Longshore and Harbor Workers' Compensation Act: Electronic Filing, Settlement, and Civil Money Penalty Procedures","On December 14, 2020, the Office of Workers' Compensation Programs (OWCP) published a direct final rule in the Federal Register revising regulations governing electronic filing and settlements, and establishing new procedures for assessing and adjudicating penalties under the Longshore and Harbor Workers' Compensation Act (LHWCA). Consistent with the Presidential directive as expressed in the memorandum of January 20, 2021, from the Assistant to the President and Chief of Staff, entitled ""Regulatory Freeze Pending Review,"" OWCP is withdrawing the direct final rule.",Withdrawal of direct final rule.,86 FR 8686,2021-02723,,,,,,https://www.federalregister.gov/documents/2021/02/09/2021-02723/longshore-and-harbor-workers-compensation-act-electronic-filing-settlement-and-civil-money-penalty,,1,,,,,,,,,,,,,0,['1240-AA13']
2021-02-09,2021-02-25,Labor Department,Occupational Safety and Health Administration,0,Rules of Practice and Procedure Concerning Filing and Service and Amended Rules Concerning Filing and Service; Correction,"The Department of Labor (Department or DOL) is correcting a direct final rule that appeared in the Federal Register on January 11, 2021, ""Rules of Practice and Procedure Concerning Filing and Service and Amended Rules Concerning Filing and Service."" The companion proposed rule to the final rule was published in the same issue of the Federal Register. The final rule required electronic filing (e-filing) and made acceptance of electronic service (e-service) automatic for attorneys and non-attorney representatives representing parties in proceedings before the Administrative Review Board, unless the Board authorized non-electronic filing and service for good cause. Among other changes, the final rule was intended to revise several sections of the Code of Federal Regulations. However, the final rule as published inadvertently omitted amendatory instructions to revise two section headings, despite providing revised language for those headings. This document provides the omitted amendatory instructions to ensure that these two section headings are revised as written in the final rule.",Direct final rule; correction.,86 FR 8687,2021-02564,OSHA-2017-0006,,,,,https://www.federalregister.gov/documents/2021/02/09/2021-02564/rules-of-practice-and-procedure-concerning-filing-and-service-and-amended-rules-concerning-filing,,1,,,,,,,,,,,,,0,['1290-AA28']
2021-02-09,2021-06-09,Securities and Exchange Commission,,1,Qualifications of Accountants,"This document makes technical corrections to amendments to update certain auditor independence requirements adopted in Release No. 33-10876 (October 16, 2020) (""Adopting Release""), which was published in the Federal Register on December 11, 2020.",Final rule; correction.,86 FR 8686,2021-02615,,,,,,https://www.federalregister.gov/documents/2021/02/09/2021-02615/qualifications-of-accountants,,1,,,,,,,,,,,,,0,['3235-AM63']
2021-02-10,2021-02-10,Farm Credit System Insurance Corporation,,0,Rules of Practice and Procedure; Adjusting Civil Money Penalties for Inflation,"This rule implements inflation adjustments to civil money penalties (CMPs) that the Farm Credit System Insurance Corporation (FCSIC) may impose under the Farm Credit Act of 1971, as amended. These adjustments are required by 2015 amendments to the Federal Civil Penalties Inflation Adjustment Act of 1990.",Final rule.,86 FR 8854,2021-01578,,,,,,https://www.federalregister.gov/documents/2021/02/10/2021-01578/rules-of-practice-and-procedure-adjusting-civil-money-penalties-for-inflation,,1,,,,,,,,,,,,,0,['3055-AA17']
2021-02-11,2021-03-15,Commodity Futures Trading Commission,,1,Exemptions From Swap Trade Execution Requirement,"The Commodity Futures Trading Commission (""Commission"" or ""CFTC"") is adopting a final rule (""Final Rule"") that establishes two exemptions from the statutory requirement to execute certain types of swaps on a swap execution facility (""SEF"") or a designated contract market (""DCM"") (this requirement, the ""trade execution requirement"").",Final rule.,86 FR 8993,2020-28943,,,,,,https://www.federalregister.gov/documents/2021/02/11/2020-28943/exemptions-from-swap-trade-execution-requirement,,1,,,,,,,,,,,,,0,['3038-AE25']
2021-02-11,2021-05-12,Commodity Futures Trading Commission,,1,Swap Execution Facilities,"The Commodity Futures Trading Commission (""Commission"" or ""CFTC"") is adopting final rules (""Final Rules"") addressing operational issues facing swap execution facilities (""SEF"") and their market participants in connection with the Commission's regulatory requirements for a SEF's audit trail data, financial resources, and chief compliance officer (""CCO"").",Final rule.,86 FR 9224,2020-28944,,,,,,https://www.federalregister.gov/documents/2021/02/11/2020-28944/swap-execution-facilities,,1,,,,,,,,,,,,,0,['3038-AE25']
2021-02-12,2021-02-12,Treasury Department,Internal Revenue Service,0,Unrelated Business Taxable Income Separately Computed for Each Trade or Business; Correction,"This document contains corrections to the final regulations (Treasury Decision 9933) that published in the Federal Register on Wednesday, December 2, 2020. The final regulations provide guidance on how an exempt organization subject to the unrelated business income tax determines if it has more than one unrelated trade or business, and, if so, how the exempt organization calculates unrelated business taxable income.",Correcting amendment.,86 FR 9286,2021-00341,IRS-2020-0006,,,,,https://www.federalregister.gov/documents/2021/02/12/2021-00341/unrelated-business-taxable-income-separately-computed-for-each-trade-or-business-correction,,1,,,,,,,,,,,,,0,['1545-BO79']
